"","area","mean","year","month","region_summary"
"1","full","818.521969806557","1990","01","full"
"2","full","825.139588704248","2000","01","full"
"3","full","885.417771035879","2010","01","full"
"4","Boreal","923.18938706574","1990","01","biome"
"5","Tundra","611.885783287172","1990","01","biome"
"6","Boreal","928.022489363977","2000","01","biome"
"7","Tundra","622.036309362967","2000","01","biome"
"8","Boreal","991.991344582729","2010","01","biome"
"9","Tundra","675.201065662366","2010","01","biome"
"10","siberia_tundra","585.107270622896","1990","01","region"
"11","east_siberia","938.005765720032","1990","01","region"
"12","west_siberia","722.616936895791","1990","01","region"
"13","fenno","990.872108617454","1990","01","region"
"14","alaska","811.758752073373","1990","01","region"
"15","canada_tundra","442.371107399091","1990","01","region"
"16","east_canada","912.711679974449","1990","01","region"
"17","west_canada","846.045743045784","1990","01","region"
"18","siberia_tundra","600.502022832492","2000","01","region"
"19","east_siberia","945.874204602033","2000","01","region"
"20","west_siberia","709.65977772703","2000","01","region"
"21","fenno","990.670439083516","2000","01","region"
"22","alaska","818.704961459655","2000","01","region"
"23","canada_tundra","459.024492031327","2000","01","region"
"24","east_canada","924.977147876078","2000","01","region"
"25","west_canada","849.454618465202","2000","01","region"
"26","siberia_tundra","674.530975679413","2010","01","region"
"27","east_siberia","1033.65370534886","2010","01","region"
"28","west_siberia","765.404403049185","2010","01","region"
"29","fenno","985.887229657268","2010","01","region"
"30","alaska","873.111300057148","2010","01","region"
"31","canada_tundra","501.930460907732","2010","01","region"
"32","east_canada","997.693968152576","2010","01","region"
"33","west_canada","920.2869141682","2010","01","region"
"34","full","744.808439191908","1990","02","full"
"35","full","753.68275830775","2000","02","full"
"36","full","827.053880820101","2010","02","full"
"37","Boreal","840.028103474078","1990","02","biome"
"38","Tundra","556.807092312369","1990","02","biome"
"39","Boreal","843.665230571887","2000","02","biome"
"40","Tundra","576.035902350875","2000","02","biome"
"41","Boreal","919.720071466748","2010","02","biome"
"42","Tundra","644.253454898138","2010","02","biome"
"43","siberia_tundra","530.997295875421","1990","02","region"
"44","east_siberia","856.188020462156","1990","02","region"
"45","west_siberia","670.450213138464","1990","02","region"
"46","fenno","893.798944322803","1990","02","region"
"47","alaska","759.25476144014","1990","02","region"
"48","canada_tundra","393.458686127389","1990","02","region"
"49","east_canada","813.882373043756","1990","02","region"
"50","west_canada","775.847944582747","1990","02","region"
"51","siberia_tundra","552.393660563973","2000","02","region"
"52","east_siberia","870.652035964972","2000","02","region"
"53","west_siberia","662.147800106569","2000","02","region"
"54","fenno","883.010898889584","2000","02","region"
"55","alaska","792.803956483559","2000","02","region"
"56","canada_tundra","416.870494002957","2000","02","region"
"57","east_canada","820.794487384222","2000","02","region"
"58","west_canada","772.477038640546","2000","02","region"
"59","siberia_tundra","637.40272516835","2010","02","region"
"60","east_siberia","978.447814669101","2010","02","region"
"61","west_siberia","711.271300253374","2010","02","region"
"62","fenno","915.908583381742","2010","02","region"
"63","alaska","837.012586593814","2010","02","region"
"64","canada_tundra","475.703872063092","2010","02","region"
"65","east_canada","899.411178537209","2010","02","region"
"66","west_canada","839.701229261052","2010","02","region"
"67","full","748.560851463305","1990","03","full"
"68","full","761.169702745098","2000","03","full"
"69","full","808.985572195553","2010","03","full"
"70","Boreal","858.576376696954","1990","03","biome"
"71","Tundra","531.380443997838","1990","03","biome"
"72","Boreal","865.989552538749","2000","03","biome"
"73","Tundra","554.296234715936","2000","03","biome"
"74","Boreal","905.151792318852","2010","03","biome"
"75","Tundra","619.281755146158","2010","03","biome"
"76","siberia_tundra","502.734893202862","1990","03","region"
"77","east_siberia","841.697981119366","1990","03","region"
"78","west_siberia","700.403691862678","1990","03","region"
"79","fenno","912.756238270253","1990","03","region"
"80","alaska","738.810327836862","1990","03","region"
"81","canada_tundra","369.045180458952","1990","03","region"
"82","east_canada","901.320891089109","1990","03","region"
"83","west_canada","791.047126312371","1990","03","region"
"84","siberia_tundra","535.197766729798","2000","03","region"
"85","east_siberia","855.230313473197","2000","03","region"
"86","west_siberia","713.371656390348","2000","03","region"
"87","fenno","901.917350250235","2000","03","region"
"88","alaska","757.287832959313","2000","03","region"
"89","canada_tundra","401.144539679062","2000","03","region"
"90","east_canada","913.390469498563","2000","03","region"
"91","west_canada","793.457895876177","2000","03","region"
"92","siberia_tundra","616.02003291847","2010","03","region"
"93","east_siberia","927.953308852755","2010","03","region"
"94","west_siberia","748.144999401907","2010","03","region"
"95","fenno","905.683928012869","2010","03","region"
"96","alaska","804.560612185161","2010","03","region"
"97","canada_tundra","446.633664024786","2010","03","region"
"98","east_canada","930.837030615504","2010","03","region"
"99","west_canada","837.910466500703","2010","03","region"
"100","full","554.894388998077","1990","04","full"
"101","full","544.008038730207","2000","04","full"
"102","full","544.601997608734","2010","04","full"
"103","Boreal","586.769547835382","1990","04","biome"
"104","Tundra","492.058586097413","1990","04","biome"
"105","Boreal","563.262084019241","2000","04","biome"
"106","Tundra","506.193714956428","2000","04","biome"
"107","Boreal","541.968138046881","2010","04","biome"
"108","Tundra","549.966786413951","2010","04","biome"
"109","siberia_tundra","445.547324810606","1990","04","region"
"110","east_siberia","726.99007644021","1990","04","region"
"111","west_siberia","301.198169292837","1990","04","region"
"112","fenno","540.475793712856","1990","04","region"
"113","alaska","738.205888379354","1990","04","region"
"114","canada_tundra","309.48496631798","1990","04","region"
"115","east_canada","635.874912168636","1990","04","region"
"116","west_canada","481.920969801927","1990","04","region"
"117","siberia_tundra","460.414183501684","2000","04","region"
"118","east_siberia","721.781696328332","2000","04","region"
"119","west_siberia","345.275964832153","2000","04","region"
"120","fenno","409.610627150454","2000","04","region"
"121","alaska","769.994233583764","2000","04","region"
"122","canada_tundra","323.431866476806","2000","04","region"
"123","east_canada","610.670198019802","2000","04","region"
"124","west_canada","510.255341487174","2000","04","region"
"125","siberia_tundra","527.320665734728","2010","04","region"
"126","east_siberia","749.707117265502","2010","04","region"
"127","west_siberia","180.467561630727","2010","04","region"
"128","fenno","369.587534630681","2010","04","region"
"129","alaska","759.60214236929","2010","04","region"
"130","canada_tundra","341.248961373256","2010","04","region"
"131","east_canada","580.238207783912","2010","04","region"
"132","west_canada","546.888636679913","2010","04","region"
"133","full","-258.377486790718","1990","05","full"
"134","full","-328.568575950177","2000","05","full"
"135","full","-461.878686109567","2010","05","full"
"136","Boreal","-603.729707749866","1990","05","biome"
"137","Tundra","423.223277376208","1990","05","biome"
"138","Boreal","-712.450023303047","2000","05","biome"
"139","Tundra","429.229861345673","2000","05","biome"
"140","Boreal","-910.923022982362","2010","05","biome"
"141","Tundra","424.365829561575","2010","05","biome"
"142","siberia_tundra","481.027385837542","1990","05","region"
"143","east_siberia","36.0743393242412","1990","05","region"
"144","west_siberia","-1101.20718581107","1990","05","region"
"145","fenno","-881.684223490773","1990","05","region"
"146","alaska","-62.3778856473802","1990","05","region"
"147","canada_tundra","367.228539350457","1990","05","region"
"148","east_canada","-668.359329287768","1990","05","region"
"149","west_canada","-654.145585020024","1990","05","region"
"150","siberia_tundra","487.804571759259","2000","05","region"
"151","east_siberia","-7.71808987338066","2000","05","region"
"152","west_siberia","-1262.20790134734","2000","05","region"
"153","fenno","-1243.94092508602","2000","05","region"
"154","alaska","-44.6536198653527","2000","05","region"
"155","canada_tundra","373.605903937784","2000","05","region"
"156","east_canada","-792.868680932609","2000","05","region"
"157","west_canada","-533.345145578526","2000","05","region"
"158","siberia_tundra","519.901402417027","2010","05","region"
"159","east_siberia","-154.609037824027","2010","05","region"
"160","west_siberia","-1431.46276601529","2010","05","region"
"161","fenno","-1588.70357254569","2010","05","region"
"162","alaska","-218.423469885564","2010","05","region"
"163","canada_tundra","401.420622315414","2010","05","region"
"164","east_canada","-714.118054478259","2010","05","region"
"165","west_canada","-771.680330276932","2010","05","region"
"166","full","-2038.96571571184","1990","06","full"
"167","full","-2393.7709132059","2000","06","full"
"168","full","-2682.25087403483","2010","06","full"
"169","Boreal","-2746.87114099412","1990","06","biome"
"170","Tundra","-643.359868776599","1990","06","biome"
"171","Boreal","-3209.85290090861","2000","06","biome"
"172","Tundra","-784.895096433155","2000","06","biome"
"173","Boreal","-3499.33061250668","2010","06","biome"
"174","Tundra","-1071.99222768551","2010","06","biome"
"175","siberia_tundra","-376.07702020202","1990","06","region"
"176","east_siberia","-2265.64536721564","1990","06","region"
"177","west_siberia","-3073.32298089366","1990","06","region"
"178","fenno","-2758.05645918048","1990","06","region"
"179","alaska","-2175.7476729437","1990","06","region"
"180","canada_tundra","-309.526805958705","1990","06","region"
"181","east_canada","-2404.95","1990","06","region"
"182","west_canada","-2582.02217339539","1990","06","region"
"183","siberia_tundra","-656.675581334175","2000","06","region"
"184","east_siberia","-2804.46582253766","2000","06","region"
"185","west_siberia","-3623.71042094847","2000","06","region"
"186","fenno","-3259.47293751955","2000","06","region"
"187","alaska","-2391.61980681042","2000","06","region"
"188","canada_tundra","-189.132238895887","2000","06","region"
"189","east_canada","-2730.88361865219","2000","06","region"
"190","west_canada","-2773.3647104665","2000","06","region"
"191","siberia_tundra","-961.913487554113","2010","06","region"
"192","east_siberia","-3131.98285569243","2010","06","region"
"193","west_siberia","-3806.14586391762","2010","06","region"
"194","fenno","-3626.39330399035","2010","06","region"
"195","alaska","-2554.65014008335","2010","06","region"
"196","canada_tundra","-478.925273641961","2010","06","region"
"197","east_canada","-2927.70043345348","2010","06","region"
"198","west_canada","-3052.57891237456","2010","06","region"
"199","full","-2977.13884478699","1990","07","full"
"200","full","-3255.96948067599","2000","07","full"
"201","full","-3609.23640490391","2010","07","full"
"202","Boreal","-3279.06599380011","1990","07","biome"
"203","Tundra","-2383.26978737418","1990","07","biome"
"204","Boreal","-3595.3533272047","2000","07","biome"
"205","Tundra","-2588.46844051881","2000","07","biome"
"206","Boreal","-3921.07022554784","2010","07","biome"
"207","Tundra","-2996.27059186844","2010","07","biome"
"208","siberia_tundra","-2622.51712173822","1990","07","region"
"209","east_siberia","-3297.31066550819","1990","07","region"
"210","west_siberia","-3517.11136484738","1990","07","region"
"211","fenno","-3175.89970871129","1990","07","region"
"212","alaska","-2879.28197872963","1990","07","region"
"213","canada_tundra","-1954.21643299195","1990","07","region"
"214","east_canada","-2954.42443628234","1990","07","region"
"215","west_canada","-2902.1999285637","1990","07","region"
"216","siberia_tundra","-2887.1298163931","2000","07","region"
"217","east_siberia","-3610.70802671014","2000","07","region"
"218","west_siberia","-3762.30316662861","2000","07","region"
"219","fenno","-3496.52869878011","2000","07","region"
"220","alaska","-2952.35762513416","2000","07","region"
"221","canada_tundra","-2125.34611150665","2000","07","region"
"222","east_canada","-3263.22515809645","2000","07","region"
"223","west_canada","-3245.41990691633","2000","07","region"
"224","siberia_tundra","-3322.48374368687","2010","07","region"
"225","east_siberia","-4031.82843698529","2010","07","region"
"226","west_siberia","-3891.02347785426","2010","07","region"
"227","fenno","-3847.93657837705","2010","07","region"
"228","alaska","-3182.12739221945","2010","07","region"
"229","canada_tundra","-2551.48510323676","2010","07","region"
"230","east_canada","-3564.52665054524","2010","07","region"
"231","west_canada","-3542.95493946469","2010","07","region"
"232","full","-1660.87972563267","1990","08","full"
"233","full","-1719.74895162409","2000","08","full"
"234","full","-1927.54515748834","2010","08","full"
"235","Boreal","-1888.50033393907","1990","08","biome"
"236","Tundra","-1212.41982283996","1990","08","biome"
"237","Boreal","-1934.50985269909","2000","08","biome"
"238","Tundra","-1296.74161149767","2000","08","biome"
"239","Boreal","-2166.95496678629","2010","08","biome"
"240","Tundra","-1455.8782703313","2010","08","biome"
"241","siberia_tundra","-1356.53803924663","1990","08","region"
"242","east_siberia","-1903.94185369949","1990","08","region"
"243","west_siberia","-1768.86108700617","1990","08","region"
"244","fenno","-1753.43380708477","1990","08","region"
"245","alaska","-1379.01284515562","1990","08","region"
"246","canada_tundra","-1010.10281505011","1990","08","region"
"247","east_canada","-1981.07587032897","1990","08","region"
"248","west_canada","-1632.15781794567","1990","08","region"
"249","siberia_tundra","-1469.45685500842","2000","08","region"
"250","east_siberia","-1968.30527661984","2000","08","region"
"251","west_siberia","-1808.25884144021","2000","08","region"
"252","fenno","-1757.95661362215","2000","08","region"
"253","alaska","-1456.02870036101","2000","08","region"
"254","canada_tundra","-1108.37032696205","2000","08","region"
"255","east_canada","-1977.37742574257","2000","08","region"
"256","west_canada","-1708.83974889057","2000","08","region"
"257","siberia_tundra","-1589.05590503247","2010","08","region"
"258","east_siberia","-2174.57234763908","2010","08","region"
"259","west_siberia","-2036.81630944225","2010","08","region"
"260","fenno","-2084.79943529648","2010","08","region"
"261","alaska","-1453.82753021201","2010","08","region"
"262","canada_tundra","-1337.69411171008","2010","08","region"
"263","east_canada","-2130.2343158279","2010","08","region"
"264","west_canada","-1962.47067245991","2010","08","region"
"265","full","658.158612904968","1990","09","full"
"266","full","645.292786583975","2000","09","full"
"267","full","627.831393217038","2010","09","full"
"268","Boreal","567.16607717798","1990","09","biome"
"269","Tundra","838.383522765656","1990","09","biome"
"270","Boreal","535.266312773918","2000","09","biome"
"271","Tundra","862.982207153955","2000","09","biome"
"272","Boreal","488.798460105368","2010","09","biome"
"273","Tundra","902.861163518978","2010","09","biome"
"274","siberia_tundra","905.816579861111","1990","09","region"
"275","east_siberia","831.527613171536","1990","09","region"
"276","west_siberia","544.205545406105","1990","09","region"
"277","fenno","532.595955192368","1990","09","region"
"278","alaska","823.038467167529","1990","09","region"
"279","canada_tundra","697.941524727532","1990","09","region"
"280","east_canada","176.309648674545","1990","09","region"
"281","west_canada","496.731213334776","1990","09","region"
"282","siberia_tundra","925.386284722222","2000","09","region"
"283","east_siberia","788.480040611912","2000","09","region"
"284","west_siberia","430.864782674888","2000","09","region"
"285","fenno","471.931199171098","2000","09","region"
"286","alaska","884.314879500439","2000","09","region"
"287","canada_tundra","712.554726436278","2000","09","region"
"288","east_canada","109.331069945704","2000","09","region"
"289","west_canada","616.152144171447","2000","09","region"
"290","siberia_tundra","987.335212241462","2010","09","region"
"291","east_siberia","768.750971715309","2010","09","region"
"292","west_siberia","417.903924575082","2010","09","region"
"293","fenno","450.500326757228","2010","09","region"
"294","alaska","952.211491016545","2010","09","region"
"295","canada_tundra","761.013050315696","2010","09","region"
"296","east_canada","61.2512889537802","2010","09","region"
"297","west_canada","470.955527036012","2010","09","region"
"298","full","1251.55107021412","1990","10","full"
"299","full","1251.45229485554","2000","10","full"
"300","full","1320.51526263991","2010","10","full"
"301","Boreal","1404.48288572956","1990","10","biome"
"302","Tundra","949.973318752955","1990","10","biome"
"303","Boreal","1399.99301849278","2000","10","biome"
"304","Tundra","958.602483449301","2000","10","biome"
"305","Boreal","1469.72994731618","2010","10","biome"
"306","Tundra","1026.436974648","2010","10","biome"
"307","siberia_tundra","949.463991477273","1990","10","region"
"308","east_siberia","1338.19319555221","1990","10","region"
"309","west_siberia","1214.74284463728","1990","10","region"
"310","fenno","1453.1160971223","1990","10","region"
"311","alaska","1285.24385305883","1990","10","region"
"312","canada_tundra","733.699638534421","1990","10","region"
"313","east_canada","1430.56115618013","1990","10","region"
"314","west_canada","1379.53893494967","1990","10","region"
"315","siberia_tundra","959.356870791246","2000","10","region"
"316","east_siberia","1336.03424579969","2000","10","region"
"317","west_siberia","1200.64504453071","2000","10","region"
"318","fenno","1447.92865186112","2000","10","region"
"319","alaska","1301.95890818616","2000","10","region"
"320","canada_tundra","747.816430253574","2000","10","region"
"321","east_canada","1423.65711913127","2000","10","region"
"322","west_canada","1375.38001948263","2000","10","region"
"323","siberia_tundra","1056.23856872294","2010","10","region"
"324","east_siberia","1431.47978957674","2010","10","region"
"325","west_siberia","1247.4982872802","2010","10","region"
"326","fenno","1477.90945194155","2010","10","region"
"327","alaska","1358.34115523466","2010","10","region"
"328","canada_tundra","798.706884276247","2010","10","region"
"329","east_canada","1478.55221517543","2010","10","region"
"330","west_canada","1448.73211386514","2010","10","region"
"331","full","1130.55110197878","1990","11","full"
"332","full","1159.46515160536","2000","11","full"
"333","full","1214.93149851852","2010","11","full"
"334","Boreal","1298.65130860502","1990","11","biome"
"335","Tundra","798.86906285888","1990","11","biome"
"336","Boreal","1334.08917626937","2000","11","biome"
"337","Tundra","814.943597581571","2000","11","biome"
"338","Boreal","1389.43898175155","2010","11","biome"
"339","Tundra","870.754896449561","2010","11","biome"
"340","siberia_tundra","786.927609427609","1990","11","region"
"341","east_siberia","1217.54353089336","1990","11","region"
"342","west_siberia","1042.24483900434","1990","11","region"
"343","fenno","1331.74026235533","1990","11","region"
"344","alaska","1117.14841935799","1990","11","region"
"345","canada_tundra","591.850408017964","1990","11","region"
"346","east_canada","1455.7697125519","1990","11","region"
"347","west_canada","1259.65253598874","1990","11","region"
"348","siberia_tundra","806.02587594697","2000","11","region"
"349","east_siberia","1239.06936826999","2000","11","region"
"350","west_siberia","1066.43761132679","2000","11","region"
"351","fenno","1394.90552275571","2000","11","region"
"352","alaska","1148.0957995902","2000","11","region"
"353","canada_tundra","606.600711977655","2000","11","region"
"354","east_canada","1495.02097732354","2000","11","region"
"355","west_canada","1281.11315293863","2000","11","region"
"356","siberia_tundra","891.568546326359","2010","11","region"
"357","east_siberia","1314.75884306257","2010","11","region"
"358","west_siberia","1110.36965386748","2010","11","region"
"359","fenno","1438.22719960677","2010","11","region"
"360","alaska","1201.49848068801","2010","11","region"
"361","canada_tundra","647.873780444869","2010","11","region"
"362","east_canada","1526.74172560113","2010","11","region"
"363","west_canada","1315.3875125632","2010","11","region"
"364","full","894.82126956578","1990","12","full"
"365","full","903.924914561537","2000","12","full"
"366","full","988.737857205667","2010","12","full"
"367","Boreal","1030.40485601283","1990","12","biome"
"368","Tundra","627.17702999392","1990","12","biome"
"369","Boreal","1037.22322779262","2000","12","biome"
"370","Tundra","640.8022959873","2000","12","biome"
"371","Boreal","1128.73823257234","2010","12","biome"
"372","Tundra","712.602959342218","2010","12","biome"
"373","siberia_tundra","596.03025831229","1990","12","region"
"374","east_siberia","976.604520027725","1990","12","region"
"375","west_siberia","814.475519525006","1990","12","region"
"376","fenno","1112.44891499844","1990","12","region"
"377","alaska","870.711625524441","1990","12","region"
"378","canada_tundra","457.283378060135","1990","12","region"
"379","east_canada","1118.48712871287","1990","12","region"
"380","west_canada","969.169886351337","1990","12","region"
"381","siberia_tundra","614.265832807239","2000","12","region"
"382","east_siberia","982.872739253951","2000","12","region"
"383","west_siberia","812.944789525767","2000","12","region"
"384","fenno","1127.120787066","2000","12","region"
"385","alaska","909.54714606303","2000","12","region"
"386","canada_tundra","468.5349416726","2000","12","region"
"387","east_canada","1122.25215586075","2000","12","region"
"388","west_canada","965.64106505033","2000","12","region"
"389","siberia_tundra","717.303424873737","2010","12","region"
"390","east_siberia","1105.80317168993","2010","12","region"
"391","west_siberia","916.549897236812","2010","12","region"
"392","fenno","1140.11713269136","2010","12","region"
"393","alaska","972.10858899126","2010","12","region"
"394","canada_tundra","535.653798909344","2010","12","region"
"395","east_canada","1189.62902313273","2010","12","region"
"396","west_canada","1055.84877460455","2010","12","region"
